studentId,mean_proficiency_2017,mean_proficiency_2018,studentLevel2017,studentLevel2018
45021,1.0100316789862724,1.0389640420857902,5,6
45022,1.0413586765223513,1.0647473696381085,5,6
45024,0.9413938753959874,0.9788414845646894,5,6
45025,0.6569869764167546,0.7575442247658689,5,6
45026,1.0510383667722634,1.0456700196554516,5,6
45027,0.9456177402323126,0.9302809573361083,5,6
45028,0.9966561070045759,1.0008093421204765,5,6
45029,0.8046462513199577,0.86576482830385,5,6
45030,1.0575501583949314,1.0506416926812348,5,6
45031,0.8789158746920098,0.9263498670366518,5,6
45033,0.9043838453572661,0.9326337169939065,6,7
45034,0.963745160154875,1.009596485142791,5,6
45035,1.0881731784582893,1.1084518441438316,5,6
45036,0.9822245688137979,1.0450919181408256,5,6
45038,1.006558508802209,0.9728052358384112,6,7
45039,0.8004832585433206,0.8344617467840217,6,7
45040,0.999309630652399,1.0400586774994358,6,7
45092,0.7780462547462893,0.787519747235387,6,7
45113,1.01432516396272,1.003385240352065,6,7
45114,0.9080082844321713,0.925637553599639,6,7
45115,1.0220918191232309,1.008124576844956,6,7
45116,0.9511563686572316,0.9693071541412773,6,7
45117,0.8213669313082499,0.7858271270593545,6,7
45119,0.9439074905074214,0.9331979237192507,6,7
45120,0.702105626510183,0.7180094786729857,6,7
45121,0.9219882637210908,0.9231550440081246,6,7
45122,0.8534691059716948,0.8712480252764613,6,7
45125,0.6054539178460476,0.57447528774543,6,7
45126,0.6282361063168795,0.65763935906116,6,7
45127,0.8769416637901277,0.9365831640713157,6,7
45128,0.8365550569554712,0.9494470774091627,6,7
45129,0.936486020020711,0.9462875197472354,6,7
45131,1.0938049982400564,1.0409295872355184,5,6
45132,0.9598732840549102,0.9817319921378194,5,6
45133,0.706441393875396,0.7476008787143021,5,6
45134,0.9626891939457938,0.9714417851774771,5,6
45135,0.9571971004487401,0.9502369668246445,6,7
45136,0.9477296726504751,0.9949127066712915,5,6
45137,0.9653089402830515,0.9808169713382983,6,7
45138,0.8739880323829637,0.9046132500867152,5,6
45139,0.963745160154875,0.9750260145681581,5,6
